timestamp,code,option_type,strike,expiry,side,price,qty,pnl,entry_date
2024-09-17,ARM.US,call,144.0,2024-10-01,buy,4.7996,77,0.0,2024-09-17
2024-09-19,AVGO.US,call,176.0,2024-10-03,buy,4.5516,59,0.0,2024-09-19
2024-09-20,AMD.US,call,164.0,2024-10-04,buy,2.8769,70,0.0,2024-09-20
2024-09-23,MU.US,call,98.0,2024-10-07,buy,1.9648,88,0.0,2024-09-23
2024-09-23,AMD.US,call,164.0,2024-10-04,close,2.4842,70,-2749.4,2024-09-20
2024-09-23,ARM.US,call,144.0,2024-10-01,close,4.267,77,-4100.9877,2024-09-17
2024-09-25,AVGO.US,call,176.0,2024-10-03,close,5.6225,59,6318.4182,2024-09-19
2024-09-30,MU.US,call,98.0,2024-10-07,close,7.0688,88,44915.296,2024-09-23
2024-10-10,MU.US,call,111.0,2024-10-24,buy,2.9357,100,0.0,2024-10-10
2024-10-10,AMD.US,call,172.0,2024-10-24,buy,2.9911,59,0.0,2024-10-10
2024-10-11,MU.US,call,111.0,2024-10-24,close,3.2297,100,2940.2689,2024-10-10
2024-10-11,AMD.US,call,172.0,2024-10-24,close,4.1741,59,6980.0222,2024-10-10
2024-10-15,MU.US,call,110.0,2024-10-29,buy,2.4339,88,0.0,2024-10-15
2024-10-17,MU.US,call,110.0,2024-10-29,close,5.797,88,29594.8863,2024-10-15
2024-10-21,ARM.US,call,160.0,2024-11-04,buy,3.5097,58,0.0,2024-10-21
2024-10-22,ARM.US,call,160.0,2024-11-04,close,3.3653,58,-837.5488,2024-10-21
